date,open,high,low,close,volume
2023-01-01,150.75907467123156,154.7168377562439,145.25103658816676,150.31095738185462,2422878
2023-01-02,150.42229611177802,155.0354119777036,146.02315361164864,150.9597795952382,3524674
2023-01-03,150.51843746733357,154.752256200276,147.28199212043322,152.40203527987813,4449872
2023-01-04,151.94261867653836,153.71468148785527,147.10145639155397,153.94310232733542,4947169
2023-01-05,150.76498654222908,154.74261637779526,148.27379341539543,154.3135361261007,3667349
2023-01-06,150.9709487887227,155.73654667559663,146.5557225824818,155.52233173718818,1596502
2023-01-07,152.27385452047494,156.16799579317978,145.32011665529558,154.04788794527175,2105966
2023-01-08,152.60832965028467,157.5686515843117,146.44144810053294,154.28407407552163,2205034
2023-01-09,152.67932113068932,157.98440192917084,146.36766066731462,152.58060425381535,3227888
2023-01-10,151.7087883624208,158.0330304630614,145.58339099049584,151.2885807247641,2187992
2023-01-11,152.0461726660784,158.70889232385682,143.33006246896704,152.13840164378965,4699829
2023-01-12,150.896809161737,159.06440565143356,143.04034307936234,151.67347303109736,2870070
2023-01-13,150.6946955157251,157.72244619534402,144.82611635311332,152.7542504112123,4822889
2023-01-14,151.54392188142268,156.89953200903727,145.8050282502619,151.53219513174932,3714703
2023-01-15,153.01562606401282,157.57078383233508,143.7310429149845,150.83548185479808,4795805
2023-01-16,151.9607074121972,155.6175805535888,144.20819628971978,150.86089629214817,2643287
2023-01-17,151.3718704709404,156.00528530848368,142.64228551491485,150.97773771636375,2658892
2023-01-18,150.8892987875719,156.66796706421036,141.7457548589985,149.36126135622223,2728007
2023-01-19,151.21020639656436,155.73194448110593,139.85261776434743,148.7617422120495,3733152
2023-01-20,151.8413173152917,156.22640096329118,141.3190188724798,148.91704338281616,2675908
2023-01-21,151.0454592140515,156.44211107047948,141.76210557425168,149.36367983622267,3322469
2023-01-22,151.34742055364978,156.85501016754864,144.553481745913,147.16662845246714,2067701
2023-01-23,154.09967595559746,154.9812147631266,143.1771328677061,146.58577683964955,1657938
2023-01-24,154.48787407644096,156.45193902068772,146.08227731941835,145.50857376710314,3108244
2023-01-25,153.0815656877733,157.26350753490019,145.64542267937617,146.56390582964997,4082184
2023-01-26,154.25838491717087,156.98245977137867,145.18148253001897,147.95835131356438,4043402
2023-01-27,153.19249278948845,155.9563619129052,145.50416083761,148.61459544888822,4178119
2023-01-28,152.73218652480105,154.16760604514977,147.8016073111164,151.31143300637456,2272459
2023-01-29,153.73596684974464,155.90920509937715,148.56059386325427,149.97179031168923,3428129
2023-01-30,153.03740607614776,156.32070650560843,148.47835545211635,148.9576669811107,1648318
2023-01-31,153.3942938241045,155.51097891212788,147.09532696298115,148.09441618286118,2490300
2023-02-01,153.251488178123,155.1715126208752,146.205186896981,147.68134581332782,3349636
2023-02-02,153.42896317364043,155.4302064900151,146.0628182281554,146.04498594515653,1555351
2023-02-03,153.00291033931003,155.91814777981475,145.79106435734704,145.08393129951148,3396956
2023-02-04,152.59026855826116,156.23851038614376,146.75756320244022,143.32496453944975,4449257
2023-02-05,152.8260894648157,157.87262345442934,147.46648508324625,144.00038826658255,1018781
2023-02-06,151.74907130684983,157.62945073514533,147.81827887637309,144.67379515273848,1354245
2023-02-07,151.35937010135987,158.19424079159995,147.56133249035486,144.87729768913158,3207654
2023-02-08,151.39194996649013,157.70085643709396,148.34201774079682,144.62931639346021,1658650
2023-02-09,152.08382597565935,158.78465910010098,147.4471425264339,144.32350668596308,2256606
2023-02-10,153.69328092771528,157.7287158795013,146.69264098740376,143.16455348203766,2664594
2023-02-11,152.8756540647616,156.69539818887213,148.01754542060527,142.86999222383847,1511195
2023-02-12,154.09198446208958,157.3254712395025,148.72761506617377,143.9482191540621,3331307
2023-02-13,152.87062685523347,158.0893450762472,150.4900892907118,143.27878909190218,3923901
2023-02-14,152.80732935021254,158.11081367607562,149.58153682950564,142.1766885786497,1537745
2023-02-15,154.19712259019292,160.66926243758337,150.18579471367397,142.8972638737688,2327687
2023-02-16,154.4354974559873,160.04070203589706,149.58623123793558,140.70509538252193,1593424
2023-02-17,155.26611918727258,161.55784628114304,150.76900477325083,141.9883467249838,4437478
2023-02-18,155.64393407526953,161.54271253729937,151.32942442685408,141.1085117152967,3091340
2023-02-19,155.4233209513431,162.32605629971016,151.56537350349728,140.5093270988006,1910513
2023-02-20,156.45049360815193,163.283487555062,150.59654591218472,139.82098336627755,2744268
2023-02-21,158.74516722963887,162.31193924458924,150.66749038659015,141.2934941550361,4095217
2023-02-22,158.94986749319935,162.60309435155185,152.0038981793237,141.76868560137845,1483187
2023-02-23,159.37716757182156,161.75899633175314,153.07310015028452,141.77637815943854,3151685
2023-02-24,159.61956390909089,162.82385405305894,153.20738309639958,142.18467781082734,1108115
2023-02-25,159.77862306313844,163.12535038899415,153.90650502612363,142.60363622296393,3747222
2023-02-26,159.5646396116584,163.59354360227573,153.56088798333042,143.12594623461428,1885998
2023-02-27,160.69275750155523,162.39529123046526,154.35035971251148,142.5556355336831,2452274
2023-02-28,157.85923939921318,163.22049007950898,154.2179885960944,140.83548665762265,1925967
2023-03-01,157.6304015140828,163.95052716350622,153.7888316621964,140.78527828433667,3026365
2023-03-02,158.5379609086191,164.4878801594448,153.32277768042206,141.20972785130056,2566884
2023-03-03,159.10282946675608,164.87932752150365,152.71656208500679,140.48637302788143,4894017
2023-03-04,157.93725188556166,165.0159850887394,152.52760476958463,140.2130972935034,1369910
2023-03-05,157.96943697925954,165.9744945554697,153.1156302813828,142.15745669787418,1919438
2023-03-06,159.13249758013,164.5751046420695,153.17074192985342,141.69123083647534,1498882
2023-03-07,160.43974895965226,163.16460355316013,153.21750332505357,142.37067288438266,2113697
2023-03-08,159.79216529354346,164.1827153256358,154.56429883477108,142.768553545494,1960670
2023-03-09,160.9644838583018,164.26513554246563,154.4701394125645,142.87423943359784,2835562
2023-03-10,161.08120050827367,165.58564441786544,154.58380008983085,141.8671444606618,2180045
2023-03-11,162.21351913804295,164.30019798396592,155.5216501397275,141.44623243752292,3701823
2023-03-12,161.73650086092977,163.03255667295753,155.85872813899454,143.07069982313078,2646423
2023-03-13,161.61726175620282,161.6657924630999,155.691228817353,142.13876237700643,1409524
2023-03-14,160.40650788825,160.31194641893555,154.70172670747073,141.87153082595432,3586838
2023-03-15,161.15302716411495,160.21118173728127,155.81780231203558,142.24467907970478,1465898
2023-03-16,162.26342796736472,159.0357815786271,156.2210379136799,141.8571167567071,1459529
2023-03-17,160.9054488305294,157.9504755762091,155.28801588096565,142.58325538152303,4296839
2023-03-18,160.82707568073397,158.06002255706798,154.77185411948628,142.0921123371292,4040635
2023-03-19,161.27676325861609,159.1725689377623,155.89349092945892,142.2402019574082,4659538
2023-03-20,160.0459313293737,159.48339670408802,155.31691819251697,142.51245972406065,4448958
2023-03-21,161.71517531715136,159.1836679260305,155.26616556348216,143.7502173208683,3876586
2023-03-22,161.36869495619703,159.30038622031176,155.77854853598242,141.33963179716585,3781770
2023-03-23,161.22418313499696,158.27814675977186,156.40294744895422,140.76016442940443,1771667
2023-03-24,161.34437800025393,158.60301541771148,155.18859156636032,138.27137446012375,3056310
2023-03-25,162.7445062633497,159.6274405460591,156.80529030066182,136.5219909681165,2714870
2023-03-26,162.8119269679503,159.1215685460934,155.81060366072882,137.16922577976447,4875822
2023-03-27,161.53938203026672,160.6259939344869,157.57355137262098,138.46231054815337,4238488
2023-03-28,160.5431321567836,159.77664618956925,158.50766343623349,138.80418500333863,1439498
2023-03-29,161.4642994497356,158.4620461166075,159.66729885364666,139.45950117772614,1116222
2023-03-30,163.15248841567092,157.3533880184278,158.58894196989894,139.4290319336274,3758894
2023-03-31,163.72398441280498,157.9163775182363,158.62538535142187,137.3674520382346,2420179
2023-04-01,164.07126636319828,160.34995717316508,158.14052118940972,137.48403075606555,3815700
2023-04-02,164.8015137143804,161.49807316516484,158.2586098305907,137.29587925396717,1291331
2023-04-03,165.06774595497905,161.17454019612697,158.84752782152415,136.86568603014945,2800040
2023-04-04,164.40300253467464,161.270653469611,158.4718685662852,138.54972335237292,4426776
2023-04-05,162.46274900012227,160.99717465696318,157.98865137979192,138.94746232289629,2249940
2023-04-06,160.41148717046258,160.1450356779423,159.00046306444887,138.16022489296844,3958712
2023-04-07,158.93325886407084,161.73244232465277,158.07587974778264,137.23943681525574,1205043
2023-04-08,159.4472563532438,163.87721422220693,158.81117851742687,138.19837136225976,2925297
2023-04-09,159.95897459577122,165.22121948417956,159.73911259781977,138.7958712955905,4399271
2023-04-10,160.75789575720017,163.96041726044535,159.38557871868466,138.7415991998269,3051573
