date,ticker,price
2024-01-01,TSLA,150.00540920384356
2024-01-02,TSLA,149.87560629074642
2024-01-03,TSLA,150.13797803115068
2024-01-04,TSLA,150.19630852330585
2024-01-05,TSLA,149.77627378234538
2024-01-06,TSLA,149.75962199145334
2024-01-07,TSLA,149.97091324932993
2024-01-08,TSLA,149.4655438541379
2024-01-09,TSLA,150.90922651132996
2024-01-10,TSLA,150.6810869593377
2024-01-11,TSLA,152.8821848161777
2024-01-12,TSLA,152.10388026615541
2024-01-13,TSLA,151.5994590421763
2024-01-14,TSLA,152.236159470709
2024-01-15,TSLA,150.95507591097464
2024-01-16,TSLA,153.1951474645225
2024-01-17,TSLA,152.45269734646183
2024-01-18,TSLA,152.94728282515953
2024-01-19,TSLA,152.96045424891594
2024-01-20,TSLA,154.3261201046617
